Grapheme	IPA	STRUCTURE
ya:	ɥ aː 	m n
yaː	ɥ aː 	m n
yᴀ	ɥ ᴀ 	m n
yᴀ:	ɥ ᴀː 	m n
yᴀː	ɥ ᴀː 	m n
yɐ	ɥ ɐ 	m n
yɐ:	ɥ ɐː 	m n
yɐː	ɥ ɐː 	m n
yɑ	ɥ ɑ 	m n
yɑ:	ɥ ɑː 	m n
yɑː	ɥ ɑː 	m n
ye	ɥ e 	m n
ye:	ɥ eː 	m n
yeː	ɥ eː 	m n
yᴇ	ɥ ᴇ 	m n
yᴇ:	ɥ ᴇː 	m n
yᴇː	ɥ ᴇː 	m n
yə	ɥ ə 	m n
yə:	ɥ əː 	m n
yəː	ɥ əː 	m n
yɛ	ɥ ɛ 	m n
yɛ:	ɥ ɛː 	m n
yɛː	ɥ ɛː 	m n
yɚ	ɥ ɚ 	m n
yɚ:	ɥ ɚː 	m n
yɚː	ɥ ɚː 	m n
yɜ	ɥ ɜ 	m n
yɜ:	ɥ ɜː 	m n
yɜː	ɥ ɜː 	m n
yi	ɥ i 	m n
yi:	ɥ iː 	m n
yiː	ɥ iː 	m n
yɪ	ɥ ɪ 	m n
yɪ:	ɥ ɪː 	m n
yɪː	ɥ ɪː 	m n
yɨ	ɥ ɨ 	m n
yɨ:	ɥ ɨː 	m n
yɨː	ɥ ɨː 	m n
yᵻ	ɥ ᵻ 	m n
yᵻ:	ɥ ᵻː 	m n
yᵻː	ɥ ᵻː 	m n
yo	ɥ o 	m n
yø	ɥ ø 	m n
yo:	ɥ oː 	m n
yø:	ɥ øː 	m n
yoː	ɥ oː 	m n
yøː	ɥ øː 	m n
yɔ	ɥ ɔ 	m n
yɔ:	ɥ ɔː 	m n
yɔː	ɥ ɔː 	m n
yɿ	ɥ ɿ 	m n
yɿ:	ɥ ɿː 	m n
yɿː	ɥ ɿː 	m n
yʅ	ɥ ʅ 	m n
yʅ:	ɥ ʅː 	m n
yʅː	ɥ ʅː 	m n
yu	ɥ u 	m n
yu:	ɥ uː 	m n
yuː	ɥ uː 	m n
yʉ	ɥ ʉ 	m n
yʉ:	ɥ ʉː 	m n
yʉː	ɥ ʉː 	m n
yʊ	ɥ ʊ 	m n
yʊ:	ɥ ʊː 	m n
yʊː	ɥ ʊː 	m n
ia:i	j aː j	m n c
ia:j	j aː j	m n c
ia:k	j aː k	m n c
ia:m	j aː m	m n c
ia:n	j aː n	m n c
ia:ng	j aː ŋ	m n c
ia:ŋ	j aː ŋ	m n c
ia:p	j aː p	m n c
ia:t	j aː t	m n c
ia:u	j aː w	m n c
ia:ɥ	j aː ɥ	m n c
ia:w	j aː w	m n c
ia:y	j aː ɥ	m n c
iaːi	j aː j	m n c
iaːj	j aː j	m n c
iaːk	j aː k	m n c
iaːm	j aː m	m n c
iaːn	j aː n	m n c
iaːng	j aː ŋ	m n c
iaːŋ	j aː ŋ	m n c
iaːp	j aː p	m n c
iaːt	j aː t	m n c
iaːu	j aː w	m n c
iaːɥ	j aː ɥ	m n c
iaːw	j aː w	m n c
iaːy	j aː ɥ	m n c
iai	j a j	m n c
iaj	j a j	m n c
iak	j a k	m n c
iam	j a m	m n c
ian	j a n	m n c
iang	j a ŋ	m n c
iaŋ	j a ŋ	m n c
iap	j a p	m n c
iat	j a t	m n c
iau	j a w	m n c
iaɥ	j a ɥ	m n c
iaw	j a w	m n c
iay	j a ɥ	m n c
iᴀ:i	j ᴀː j	m n c
iᴀ:j	j ᴀː j	m n c
iᴀ:k	j ᴀː k	m n c
iᴀ:m	j ᴀː m	m n c
iᴀ:n	j ᴀː n	m n c
iᴀ:ng	j ᴀː ŋ	m n c
iᴀ:ŋ	j ᴀː ŋ	m n c
iᴀ:p	j ᴀː p	m n c
iᴀ:t	j ᴀː t	m n c
iᴀ:u	j ᴀː w	m n c
iᴀ:ɥ	j ᴀː ɥ	m n c
iᴀ:w	j ᴀː w	m n c
iᴀ:y	j ᴀː ɥ	m n c
iᴀːi	j ᴀː j	m n c
iᴀːj	j ᴀː j	m n c
iᴀːk	j ᴀː k	m n c
iᴀːm	j ᴀː m	m n c
iᴀːn	j ᴀː n	m n c
iᴀːng	j ᴀː ŋ	m n c
iᴀːŋ	j ᴀː ŋ	m n c
iᴀːp	j ᴀː p	m n c
iᴀːt	j ᴀː t	m n c
iᴀːu	j ᴀː w	m n c
iᴀːɥ	j ᴀː ɥ	m n c
iᴀːw	j ᴀː w	m n c
iᴀːy	j ᴀː ɥ	m n c
iᴀi	j ᴀ j	m n c
iᴀj	j ᴀ j	m n c
iᴀk	j ᴀ k	m n c
iᴀm	j ᴀ m	m n c
iᴀn	j ᴀ n	m n c
iᴀng	j ᴀ ŋ	m n c
iᴀŋ	j ᴀ ŋ	m n c
iᴀp	j ᴀ p	m n c
iᴀt	j ᴀ t	m n c
iᴀu	j ᴀ w	m n c
iᴀɥ	j ᴀ ɥ	m n c
iᴀw	j ᴀ w	m n c
iᴀy	j ᴀ ɥ	m n c
iɐ:i	j ɐː j	m n c
iɐ:j	j ɐː j	m n c
iɐ:k	j ɐː k	m n c
iɐ:m	j ɐː m	m n c
iɐ:n	j ɐː n	m n c
iɐ:ng	j ɐː ŋ	m n c
iɐ:ŋ	j ɐː ŋ	m n c
iɐ:p	j ɐː p	m n c
iɐ:t	j ɐː t	m n c
iɐ:u	j ɐː w	m n c
iɐ:ɥ	j ɐː ɥ	m n c
iɐ:w	j ɐː w	m n c
iɐ:y	j ɐː ɥ	m n c
iɐːi	j ɐː j	m n c
iɐːj	j ɐː j	m n c
iɐːk	j ɐː k	m n c
iɐːm	j ɐː m	m n c
iɐːn	j ɐː n	m n c
iɐːng	j ɐː ŋ	m n c
iɐːŋ	j ɐː ŋ	m n c
iɐːp	j ɐː p	m n c
iɐːt	j ɐː t	m n c
iɐːu	j ɐː w	m n c
iɐːɥ	j ɐː ɥ	m n c
iɐːw	j ɐː w	m n c
iɐːy	j ɐː ɥ	m n c
iɐi	j ɐ j	m n c
iɐj	j ɐ j	m n c
iɐk	j ɐ k	m n c
iɐm	j ɐ m	m n c
iɐn	j ɐ n	m n c
iɐng	j ɐ ŋ	m n c
iɐŋ	j ɐ ŋ	m n c
iɐp	j ɐ p	m n c
iɐt	j ɐ t	m n c
iɐu	j ɐ w	m n c
iɐɥ	j ɐ ɥ	m n c
iɐw	j ɐ w	m n c
iɐy	j ɐ ɥ	m n c
iɑ:i	j ɑː j	m n c
iɑ:j	j ɑː j	m n c
iɑ:k	j ɑː k	m n c
iɑ:m	j ɑː m	m n c
iɑ:n	j ɑː n	m n c
iɑ:ng	j ɑː ŋ	m n c
iɑ:ŋ	j ɑː ŋ	m n c
iɑ:p	j ɑː p	m n c
iɑ:t	j ɑː t	m n c
iɑ:u	j ɑː w	m n c
iɑ:ɥ	j ɑː ɥ	m n c
iɑ:w	j ɑː w	m n c
iɑ:y	j ɑː ɥ	m n c
iɑːi	j ɑː j	m n c
iɑːj	j ɑː j	m n c
iɑːk	j ɑː k	m n c
iɑːm	j ɑː m	m n c
iɑːn	j ɑː n	m n c
iɑːng	j ɑː ŋ	m n c
iɑːŋ	j ɑː ŋ	m n c
iɑːp	j ɑː p	m n c
iɑːt	j ɑː t	m n c
iɑːu	j ɑː w	m n c
iɑːɥ	j ɑː ɥ	m n c
iɑːw	j ɑː w	m n c
iɑːy	j ɑː ɥ	m n c
iɑi	j ɑ j	m n c
iɑj	j ɑ j	m n c
iɑk	j ɑ k	m n c
iɑm	j ɑ m	m n c
iɑn	j ɑ n	m n c
iɑng	j ɑ ŋ	m n c
iɑŋ	j ɑ ŋ	m n c
iɑp	j ɑ p	m n c
iɑt	j ɑ t	m n c
iɑu	j ɑ w	m n c
iɑɥ	j ɑ ɥ	m n c
iɑw	j ɑ w	m n c
iɑy	j ɑ ɥ	m n c
ie:i	j eː j	m n c
ie:j	j eː j	m n c
ie:k	j eː k	m n c
ie:m	j eː m	m n c
ie:n	j eː n	m n c
ie:ng	j eː ŋ	m n c
ie:ŋ	j eː ŋ	m n c
ie:p	j eː p	m n c
ie:t	j eː t	m n c
ie:u	j eː w	m n c
ie:ɥ	j eː ɥ	m n c
ie:w	j eː w	m n c
ie:y	j eː ɥ	m n c
ieːi	j eː j	m n c
ieːj	j eː j	m n c
ieːk	j eː k	m n c
ieːm	j eː m	m n c
ieːn	j eː n	m n c
ieːng	j eː ŋ	m n c
ieːŋ	j eː ŋ	m n c
ieːp	j eː p	m n c
ieːt	j eː t	m n c
ieːu	j eː w	m n c
ieːɥ	j eː ɥ	m n c
ieːw	j eː w	m n c
ieːy	j eː ɥ	m n c
iei	j e j	m n c
iej	j e j	m n c
iek	j e k	m n c
iem	j e m	m n c
ien	j e n	m n c
ieng	j e ŋ	m n c
ieŋ	j e ŋ	m n c
iep	j e p	m n c
iet	j e t	m n c
ieu	j e w	m n c
ieɥ	j e ɥ	m n c
iew	j e w	m n c
iey	j e ɥ	m n c
iᴇ:i	j ᴇː j	m n c
iᴇ:j	j ᴇː j	m n c
iᴇ:k	j ᴇː k	m n c
iᴇ:m	j ᴇː m	m n c
iᴇ:n	j ᴇː n	m n c
iᴇ:ng	j ᴇː ŋ	m n c
iᴇ:ŋ	j ᴇː ŋ	m n c
iᴇ:p	j ᴇː p	m n c
iᴇ:t	j ᴇː t	m n c
iᴇ:u	j ᴇː w	m n c
iᴇ:ɥ	j ᴇː ɥ	m n c
iᴇ:w	j ᴇː w	m n c
iᴇ:y	j ᴇː ɥ	m n c
iᴇːi	j ᴇː j	m n c
iᴇːj	j ᴇː j	m n c
iᴇːk	j ᴇː k	m n c
iᴇːm	j ᴇː m	m n c
iᴇːn	j ᴇː n	m n c
iᴇːng	j ᴇː ŋ	m n c
iᴇːŋ	j ᴇː ŋ	m n c
iᴇːp	j ᴇː p	m n c
iᴇːt	j ᴇː t	m n c
iᴇːu	j ᴇː w	m n c
iᴇːɥ	j ᴇː ɥ	m n c
iᴇːw	j ᴇː w	m n c
iᴇːy	j ᴇː ɥ	m n c
iᴇi	j ᴇ j	m n c
iᴇj	j ᴇ j	m n c
iᴇk	j ᴇ k	m n c
iᴇm	j ᴇ m	m n c
iᴇn	j ᴇ n	m n c
iᴇng	j ᴇ ŋ	m n c
iᴇŋ	j ᴇ ŋ	m n c
iᴇp	j ᴇ p	m n c
iᴇt	j ᴇ t	m n c
iᴇu	j ᴇ w	m n c
iᴇɥ	j ᴇ ɥ	m n c
iᴇw	j ᴇ w	m n c
iᴇy	j ᴇ ɥ	m n c
iə:i	j əː j	m n c
iə:j	j əː j	m n c
iə:k	j əː k	m n c
iə:m	j əː m	m n c
iə:n	j əː n	m n c
iə:ng	j əː ŋ	m n c
iə:ŋ	j əː ŋ	m n c
iə:p	j əː p	m n c
iə:t	j əː t	m n c
iə:u	j əː w	m n c
iə:ɥ	j əː ɥ	m n c
iə:w	j əː w	m n c
iə:y	j əː ɥ	m n c
iəːi	j əː j	m n c
iəːj	j əː j	m n c
iəːk	j əː k	m n c
iəːm	j əː m	m n c
iəːn	j əː n	m n c
iəːng	j əː ŋ	m n c
iəːŋ	j əː ŋ	m n c
iəːp	j əː p	m n c
iəːt	j əː t	m n c
iəːu	j əː w	m n c
iəːɥ	j əː ɥ	m n c
iəːw	j əː w	m n c
iəːy	j əː ɥ	m n c
iəi	j ə j	m n c
